Id	BJ1	BJ2	BJ3	BJ4	BJ6	BJ5	BJ7	BJ8	BJ9	BJ10	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	norm.BJ1	norm.BJ2	norm.BJ3	norm.BJ4	norm.BJ6	norm.BJ5	norm.BJ7	norm.BJ8	norm.BJ9	norm.BJ10	norm.CD1	norm.CD2	norm.CD3	norm.CD4	norm.CD5	norm.CD6	norm.CD7	norm.CD8	norm.CD9	norm.CD10	baseMean	Beijing	Chengde	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000357604	71	78	73	73	75	65	64	30	37	27	1	0	1	0	33	1	0	0	0	0	63	67	62	60	69	62	60	26	31	24	1	0	1	0	31	1	0	0	0	0	27.94	52	3	0.101	-3.307	-4.658	3.19754978764229e-06	1.73285940001231e-05	1.7877	0.453	1.5162	1.5162	TRUE	6.0347
ENST00000525786	2	2	4	4	4	6	2	2	3	1	0	0	0	0	0	0	0	0	0	0	2	2	3	3	4	6	2	2	2	1	0	0	0	0	0	0	0	0	0	0	1.33	3	0	0.108	-3.217	-4.657	3.21245303001559e-06	1.74067053951447e-05	0	1.782	0.3893	0.3893	TRUE	0.186
ENST00000486218	12	10	14	10	13	8	5	9	10	11	1	2	3	3	5	1	1	3	4	3	11	9	12	8	12	8	5	8	8	10	1	2	3	4	5	1	1	3	4	3	5.82	9	3	0.321	-1.639	-4.656	3.21957392255761e-06	1.74426306719051e-05	0	0.7057	0.0769	0.0769	TRUE	0.0926
ENST00000337979	236	178	173	209	167	215	149	190	239	117	5	31	25	24	103	15	13	30	95	121	208	153	147	172	154	206	141	164	199	103	7	33	26	28	97	18	14	31	90	120	105.51	165	46	0.297	-1.751	-4.656	3.22462977367406e-06	1.74673589630203e-05	0.3498	0.4042	0.354	0.354	TRUE	1.0521
ENST00000468083	222	150	176	178	147	157	36	40	113	216	12	60	41	31	68	12	21	21	74	43	196	129	150	146	135	150	34	35	94	189	16	64	42	36	64	14	23	21	70	43	82.63	126	39	0.326	-1.615	-4.656	3.22529323981844e-06	1.74682904210831e-05	0.2836	0.409	0.2926	0.2926	TRUE	0.0883
ENST00000496458	3	4	6	4	4	5	1	3	5	3	0	0	0	0	1	0	0	0	0	1	3	3	5	3	4	5	1	3	4	3	0	0	0	0	1	0	0	0	0	1	1.76	3	0	0.12	-3.057	-4.656	3.22614451450839e-06	1.74702386173439e-05	0	1.4403	0.2274	0.2274	TRUE	0.1019
ENST00000484452	3	3	3	2	6	5	3	1	2	2	0	0	0	0	0	0	0	0	0	0	3	3	3	2	6	5	3	1	2	2	0	0	0	0	0	0	0	0	0	0	1.34	3	0	0.107	-3.221	-4.656	3.23017006544327e-06	1.74893729625006e-05	0	1.7689	0.3973	0.3973	TRUE	0.1797
ENST00000367033	4	6	7	6	5	2	3	4	4	3	0	0	0	1	1	0	0	0	1	0	4	5	6	5	5	2	3	3	3	3	0	0	0	1	1	0	0	0	1	0	2.07	4	0	0.125	-3.003	-4.655	3.24458741800747e-06	1.75620829783712e-05	0	1.2827	0.1844	0.1844	TRUE	0.0957
ENST00000535598	3	3	3	3	3	3	4	1	2	3	0	0	0	0	0	0	0	0	0	0	3	3	3	2	3	3	4	1	2	3	0	0	0	0	0	0	0	0	0	0	1.24	3	0	0.113	-3.152	-4.654	3.25735949093676e-06	1.76285299692237e-05	0	1.8819	0.2968	0.2968	TRUE	0.0677
ENST00000618391	3	4	4	2	6	1	5	1	7	3	0	0	0	0	1	0	0	0	0	0	3	3	3	2	6	1	5	1	6	3	0	0	0	0	1	0	0	0	0	0	1.63	3	0	0.109	-3.196	-4.653	3.26592195071552e-06	1.76667984974779e-05	0	1.5249	0.3926	0.3926	TRUE	0.1051
