Id,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9,CD10,BJ1,BJ2,BJ3,BJ4,BJ5,BJ6,BJ7,BJ8,BJ9,BJ10
ENST00000568000,1,4,1,0,1,7,6,4,9,2,4,12,9,8,4,1,5,6,10,0
ENST00000278935,0,2,2,0,1,1,1,1,2,1,4,3,5,5,3,9,3,1,3,5
ENST00000302472,15,17,5,6,4,22,8,10,18,10,74,103,43,61,42,44,27,45,29,49
ENST00000262498,9,16,9,8,16,9,18,11,8,9,12,11,7,12,9,9,8,9,12,9
ENST00000490693,0,0,1,0,0,1,0,0,0,1,6,3,3,3,1,2,2,0,1,3
ENST00000569418,0,15,0,0,12,0,17,16,12,21,47,20,40,44,50,37,17,37,30,32
ENST00000389915,0,1,1,2,2,0,2,2,3,1,17,17,24,22,27,26,15,11,16,23
ENST00000574909,0,0,0,1,1,0,0,0,0,1,21,15,21,28,63,20,53,15,13,16
ENST00000480653,0,0,3,0,0,0,0,3,1,3,1,0,0,0,0,0,1,0,1,0
ENST00000563986,0,0,1,1,1,0,0,2,1,0,1,0,1,0,2,2,0,1,0,1
ENST00000218758,0,4,2,0,1,2,4,4,11,0,0,1,0,1,1,0,0,1,2,0
ENST00000592208,0,1,1,1,2,0,0,1,2,4,13,1,10,28,7,5,1,1,11,16
ENST00000230354,0,1,2,0,3,0,0,0,3,3,2,2,2,3,2,2,1,2,2,1
ENST00000611659,16,2,28,1,6,20,11,28,18,7,30,33,26,20,8,13,8,6,17,7
ENST00000372642,1,0,1,0,0,1,1,1,2,2,0,0,0,0,0,0,1,0,0,0
ENST00000603187,3,3,1,1,2,7,3,6,2,12,3,2,5,6,4,3,1,4,5,3
ENST00000367264,0,0,0,0,0,0,0,0,0,0,8,2,11,1,14,4,6,9,2,0
ENST00000461661,0,0,0,0,0,0,0,0,0,0,3,3,4,3,2,2,1,2,1,1
ENST00000323249,11,19,8,10,6,15,20,18,17,7,7,10,4,12,3,1,5,6,2,11
ENST00000370009,2,1,2,2,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0
ENST00000562190,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,6,1,0,0
ENST00000574999,0,0,0,1,1,0,0,0,1,0,1,2,2,1,1,1,1,3,1,1
ENST00000334944,5,3,1,6,2,5,4,5,5,6,14,12,17,6,4,7,4,12,9,20
ENST00000523018,0,0,1,0,0,1,4,2,0,1,1,0,0,0,2,0,1,1,0,2
ENST00000488357,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0
ENST00000450403,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0
ENST00000375401,0,8,0,7,8,0,8,4,2,4,8,5,2,19,6,18,14,7,24,2
ENST00000550263,4,4,5,7,6,7,4,6,5,5,3,2,3,4,2,2,6,5,4,1
ENST00000586527,0,0,1,1,0,1,1,1,2,1,2,2,1,1,1,2,3,2,2,1
ENST00000449432,0,0,0,1,9,0,0,6,1,5,15,14,14,18,12,19,13,12,8,14
ENST00000450554,17,88,53,45,68,28,47,51,68,89,111,92,82,80,85,96,59,98,81,95
ENST00000505207,0,0,0,0,2,0,1,0,0,0,6,4,8,3,3,2,5,4,5,1
ENST00000434795,0,0,0,0,1,0,0,0,0,0,4,2,3,1,1,2,0,2,2,1
