"","SRR12650992","SRR12650993","SRR12650994","SRR12650995"
"ENSMUSG00000097729",638.592318195446,576.46807229196,768.015989624619,1295.10746644289
"ENSMUSG00000112880",244.448680406486,175.233192429658,222.17202636718,434.616584688646
"ENSMUSG00000112545",160.046204435517,182.602812672027,311.266392270771,523.288359150984
"ENSMUSG00000122481",42.2012379854846,30.2973276630717,81.1999284184619,118.645332027073
"ENSMUSG00000111933",541.449845851501,794.281292788637,175.933178240001,242.286256981601
"ENSMUSG00000123170",144.121208969297,129.377777588252,110.522124791795,103.658553244706
"ENSMUSG00000097476",50.9599854919059,31.9350210502648,31.577749940513,67.4405045206519
"ENSMUSG00000123751",32.6462407057522,19.6523206463168,16.9166517538462,26.2268628691424
"ENSMUSG00000114048",7.9624977331103,9.00731362956187,3.38333035076924,29.9735575647342
"ENSMUSG00000113093",11.1474968263544,1.63769338719307,18.044428537436,0
"ENSMUSG00000124042",27.8687420658861,24.565400807896,22.555535671795,27.4757611010063
"ENSMUSG00000113722",7.9624977331103,22.9277074207029,0,22.4801681735506
"ENSMUSG00000120257",0,8.18846693596533,42.8555177764104,19.9823717098228
"ENSMUSG00000124311",407.679883935248,400.416033168705,1461.59871153231,1412.5039002381
"ENSMUSG00000124385",5.57374841317721,5.73192685517573,30.4499731569232,41.2136416515095
"ENSMUSG00000113427",109.086218943611,100.718143312374,74.4332677169234,137.378805505032
"ENSMUSG00000097055",0,6.55077354877227,18.044428537436,22.4801681735506
"ENSMUSG00000114150",74.8474786912369,123.645850733077,107.138794441026,41.2136416515095
"ENSMUSG00000112784",23.0912434260199,7.3696202423688,32.7055267241027,24.9779646372785
"ENSMUSG00000125245",651.332314568423,470.836848818007,908.988087573337,931.678080970487
"ENSMUSG00000085622",879.059749735378,615.772713584593,796.210409214362,885.468846391522
"ENSMUSG00000120568",36.6274895723074,31.1161743566683,57.5166159630772,29.9735575647342
"ENSMUSG00000097121",20.7024941060868,38.4857945990371,33.8333035076924,0
"ENSMUSG00000093765",74.8474786912369,52.4061883901781,164.655410404103,157.361177214854
"ENSMUSG00000120883",16.7212452395316,18.0146272591237,6.76666070153849,0
"ENSMUSG00000125961",17.5174950128427,4.9130801615792,32.7055267241027,4.9955929274557
"ENSMUSG00000121738",16.7212452395316,11.4638537103515,20.2999821046155,68.6894027525158
"ENSMUSG00000113052",9.55499727973237,21.2900140335099,9.02221426871799,37.4669469559177
"ENSMUSG00000113321",15.9249954662206,37.6669479054405,63.1554998810259,24.9779646372785
"ENSMUSG00000120322",203.839941967624,229.277074207029,416.149633144617,545.768527324535
"ENSMUSG00000112388",25.479992745953,24.565400807896,15.7888749702565,42.4625398833734
"ENSMUSG00000113088",15.1287456929096,8.18846693596533,13.533321403077,8.74228762304747
"ENSMUSG00000127289",24.6837429726419,21.2900140335099,27.066642806154,0
"ENSMUSG00000113769",50.9599854919059,99.8992966187771,133.07766046359,111.151942635889
"ENSMUSG00000113585",30.2574913858192,13.1015470975445,1.12777678358975,111.151942635889
"ENSMUSG00000127698",6.36999818648824,16.3769338719307,0,16.235677014231
