"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Amz2",0.852255655070746,4.11264829768776,3.20301493797755,0.00724934886205061,0.0165463026808573,-2.88269468390262,FALSE
"Zrsr2",0.715956226928556,4.48132024593888,3.26322831564963,0.00646963376977513,0.0151292224958202,-2.8829994766913,FALSE
"Rassf5",-0.528093137408801,6.97932524074345,-3.49347047364516,0.00419160603271265,0.0106487292034618,-2.88309421345225,FALSE
"ENSMUSG00000102336",1.13471071431548,4.2394542071286,3.2090161549196,0.00716757396113895,0.016396068944902,-2.88404953052528,TRUE
"Adam30",-1.91585299493562,2.20591632741567,-2.92604532983513,0.0122387725406681,0.0254775384661318,-2.88813058425928,TRUE
"Pgap2",-0.69205394120293,4.47646234627364,-3.27631219625549,0.00631169568865143,0.0148423179039422,-2.89115219228359,FALSE
"Ythdc2",1.37503123847659,2.55489325546264,2.95711727730854,0.0115408810661596,0.0242965917182308,-2.89145442176236,TRUE
"Arl5b",-0.524904326287723,7.75714426796027,-3.51017678303949,0.00406203105609494,0.0103921485285448,-2.8918304012732,FALSE
"Gopc",1.08473804739219,3.18218698112693,3.04957308030417,0.00968993760415088,0.0211167259147935,-2.89242307349733,TRUE
"Pafah1b1",-0.493336482380446,8.31920169467461,-3.52391206079723,0.003958550912238,0.0101762234247763,-2.89709114791825,FALSE
"Mrps30",1.11556354569364,3.09230595390497,3.03183832439852,0.0100204449379337,0.0217127734299756,-2.89988542473394,TRUE
"Rbx1",0.835896139834318,4.2953407722315,3.22176659729132,0.00699689548275591,0.0160966256942632,-2.90027226548447,FALSE
"Sfi1",-0.959289158927917,3.84313447633095,-3.17738474112217,0.00760927704670233,0.0172594886230844,-2.90162216494835,FALSE
"Ankle2",0.708382118356925,5.00814817724454,3.3188180066767,0.00582491914491026,0.0139144082291078,-2.90333890555567,FALSE
"Rlim",-0.462390145526845,8.2809201056009,-3.51906311725432,0.00399477298027302,0.0102561565603929,-2.90420657842675,FALSE
"Med28",0.720816585911141,4.46647974561742,3.24844778665038,0.00665284580449764,0.015449279081562,-2.90649446487046,FALSE
"Msl3",1.12069358806268,3.0196303944124,3.01749288576633,0.0102959967653395,0.0222021872502118,-2.90701044439726,TRUE
"Lypla1",0.765321041348095,4.56759578094173,3.25897206915705,0.00652186506115534,0.0152157831697996,-2.91069518573233,FALSE
"ENSMUSG00000134937",1.17849851570757,2.84460574859017,2.98777883052863,0.0108910053842055,0.023240342244237,-2.91310364992748,TRUE
"Nrg1",-1.17562472496557,2.94204709934388,-3.02338810767412,0.01018185661185,0.0220029316301458,-2.91499331879066,TRUE
"Ppp3ca",-0.528748313371068,6.93775797568544,-3.47446771752015,0.00434410253859984,0.0109803539680249,-2.91647150644638,FALSE
"Lrp5",1.17074873783682,2.99582799982836,3.00723126090509,0.010497727179284,0.0225636263928726,-2.91706955845647,TRUE
"Hspa4",-0.503166547516765,7.20008567846568,-3.48098411665324,0.00429118447444327,0.0108637581631475,-2.91939323911034,FALSE
"Atp6v0a2",0.781957413015992,4.40947479156274,3.23147423204667,0.0068696930325892,0.0158470427510708,-2.9197844620401,FALSE
"Olr1",0.639308497845344,8.27874084474956,3.50739439986008,0.00408332566286687,0.010426621545782,-2.92385119691146,FALSE
"Mak16",1.20004444010279,2.74422539914144,2.96722782194065,0.0113224336435278,0.0239501504886891,-2.9253577453415,TRUE
"ENSMUSG00000130559",-1.47642941476155,3.968588511908,-3.17027062303482,0.00771232549792438,0.0174240621246527,-2.92627566975802,TRUE
"Fam98a",1.30098396901873,2.58716079634511,2.9431297709543,0.0118500158922712,0.0248232854512097,-2.92659572986158,TRUE
"Nup107",1.1137804065639,3.01669982952412,3.00603531971017,0.010521492635076,0.0226086331132441,-2.92695608272518,TRUE
"Agtrap",0.713268266521758,5.15753540698891,3.32247610124619,0.00578483890805583,0.0138310553689321,-2.92795722436276,FALSE
"Slc39a11",0.915401277400552,3.95229443920387,3.15181975636679,0.00798615924688765,0.0179061866522145,-2.92878009755924,FALSE
"Efr3a",0.756035298978185,4.36279719831335,3.22027245245219,0.00701668300813754,0.0161349422434896,-2.92879499863613,FALSE
"Anxa2r1",1.05248135730397,4.1574404964079,3.17422071139524,0.00765493650336267,0.0173286621468312,-2.93042548277595,TRUE
"Pdzd2",-1.04850170031091,3.52386959752311,-3.10893415653293,0.00866088048821052,0.0192197070473465,-2.93110129582365,TRUE
